Key,schinese,tchinese
meleeWpnBladeT3MacheteDesc,非常适合砍杀僵尸、伐木和剖开动物的肚子以获取肉。\n普通攻击会造成 1 个流血伤口，蓄力攻击至少会造成 2 个流血伤口。\n用 [D3CE1D]大砍刀部件[-]进行修復。\n报废可得大砍刀部件。,非常適合砍殺僵屍、伐木和剖開動物的肚子以獲取肉。\n普通攻擊會造成 1 個流血傷口，蓄力攻擊至少會造成 2 個流血傷口。\n用 [D3CE1D]大砍刀部件[-]進行修復。\n報廢可得大砍刀部件。
meleeWpnClubT1BaseballBatDesc,这种棍棒用于过去在巨大竞技场举行的角斗士比赛中。\n\n用[D3CE1D]锻铁[-]修复。\n废料变成木材。,這種棍棒用於過去在巨大競技場舉行的角鬥士比賽中。\n\n用[D3CE1D]鍛鐵[-]修復。\n廢料變成木材。
meleeWpnClubT3SteelClubDesc,钢制球杆非常耐用，而且打击力很强。\n\n用 [D3CE1D]钢制球杆零件[-] 进行修复。\n废料为钢制球杆零件。,鋼製球桿非常耐用，而且打擊力很強。\n\n用 [D3CE1D]鋼製球桿零件[-] 進行修復。\n廢料為鋼製球桿零件。
meleeWpnKnucklesT1IronKnucklesDesc,提供手部保护以及挥拳时可以增加重量。\n用 [D3CE1D]锻铁[-] 修復。报废可得铁。,提供手部保護以及揮拳時可以增加重量。\n用 [D3CE1D]鍛鐵[-] 修復。報廢可得鐵。
meleeWpnKnucklesT3SteelKnucklesDesc,提供手部保护以及挥拳时可以增加重量。手套上的刀刃也可用于取出动物的内脏。\n\n使用 [D3CE1D]钢拳套零件[-] 进行修复。\n报废可取得钢拳套零件。,提供手部保護以及揮拳時可以增加重量。手套上的刀刃也可用於取出動物的內臟。\n\n使用 [D3CE1D]鋼拳套零件[-] 進行修復。\n報廢可取得鋼拳套零件。
meleeWpnSledgeT1IronSledgehammerDesc,大锤是砸碎头骨的最佳武器之一。\n\n用[D3CE1D]锻铁[-]修复。\n废料变铁。,大錘是砸碎頭骨的最佳武器之一。\n\n用[D3CE1D]鍛鐵[-]修復。\n廢料變鐵。
meleeWpnSledgeT3SteelSledgehammerDesc,大锤是砸碎头骨的最佳武器之一。\n\n使用 [D3CE1D]钢制大锤零件[-]进行修复。\n将废料转化为钢制大锤零件。,大錘是砸碎頭骨的最佳武器之一。\n\n使用 [D3CE1D]鋼製大錘零件[-]進行修復。\n將廢料轉化為鋼製大錘零件。
meleeWpnSpearT1IronSpearDesc,长矛比其他近战武器的攻击范围更远。\n\n用[D3CE1D]锻铁[-]修复。\n废料变铁。,長矛比其他近戰武器的攻擊範圍更遠。\n\n用[D3CE1D]鍛鐵[-]修復。\n廢料變鐵。
meleeWpnSpearT3SteelSpearDesc,长矛比其他近战武器的攻击范围更远。\n\n用 [D3CE1D]钢矛零件[-]修复。\n分解为钢矛零件。,長矛比其他近戰武器的攻擊範圍更遠。\n\n用 [D3CE1D]鋼矛零件[-]修復。\n分解為鋼矛零件。
gunBotT1JunkSledgeDesc,你可能不擅长拳击，但你拥有技术。\n你也可以使用次要操作将其部署在地面上。\n使用 [D3CE1D]机器人零件[-] 进行修复。\n废弃为机器人零件。,你可能不擅長拳擊，但你擁有技術。\n你也可以使用次要操作將其部署在地面上。\n使用 [D3CE1D]機器人零件[-] 進行修復。\n廢棄為機器人零件。
gunBotT2JunkTurretDesc,这种装置可以像枪一样发射和装填。它使用机器人炮塔弹药作为弹药。\n您也可以使用次要操作将其部署在地面上。\n使用 [D3CE1D]机器人零件[-] 进行修复。\n分解为机器人零件。,這種裝置可以像槍一樣發射和裝填。它使用機器人炮塔彈藥作為彈藥。\n您也可以使用次要操作將其部署在地面上。\n使用 [D3CE1D]機器人零件[-] 進行修復。\n分解為機器人零件。
gunBotT3JunkDroneDesc,机器人无人机由机器人零件和废料制成，是末日中的终极伙伴。它可以治愈你并携带一些物品。\n使用 [D3CE1D]机器人零件[-]进行修复。\n废料转化为机器人零件。,機器人無人機由機器人零件和廢料製成，是末日中的終極伙伴。它可以治癒你並攜帶一些物品。\n使用 [D3CE1D]機器人零件[-]進行修復。\n廢料轉化為機器人零件。
gunBowT1IronCrossbowDesc,弩的装填速度很慢，但比弓的伤害更大。\n这种武器可以在水下发射。\n按住装填键可使用备用弹药。\n用 [D3CE1D]弓/弩零件[-] 进行修复。\n分解为弓/弩零件。,十字弓的裝填速度很慢，但比弓的傷害更大。\n這種武器可以在水下發射。\n按住裝填鍵可使用備用彈藥。\n用 [D3CE1D]弓/弩零件[-] 進行修復。\n分解為弓/弩零件。
gunBowT1WoodenBowDesc,适合猎杀僵尸。使用箭作为弹药。\n按住重新加载以使用备用弹药。\n\n使用 [D3CE1D]弓/弩零件[-]进行修复。\n分解为弓/弩零件。,適合獵殺僵屍。使用箭作為彈藥。\n按住重新載入以使用備用彈藥。\n\n使用 [D3CE1D]弓/弩零件[-]進行修復。\n分解為弓/弩零件。
gunBowT3CompoundBowDesc,复合弓的伤害更大，而且箭飞得更直，更容易瞄准。\n\n用 [D3CE1D]弓/弩部件[-]进行修复。\n废弃为弓/弩部件。,複合弓的傷害更大，而且箭飛得更直，更容易瞄準。\n\n用 [D3CE1D]弓/弩部件[-]進行修復。\n廢棄為弓/弩部件。
gunExplosivesT3RocketLauncherDesc,火箭发射器发射火箭推进榴弹。\n\n使用 [D3CE1D]火箭发射器零件[-]进行修复。\n分解为火箭发射器零件。,火箭發射器發射火箭推進榴彈。\n\n使用 [D3CE1D]火箭發射器零件[-]進行修復。\n分解為火箭發射器零件。

disassembleAmmoGroupDesc,打开此物品即可取回弹药的全部资源。,打開此物品即可取回彈藥的全部資源。

resourceScrapPolymersDesc,橡胶和塑胶的碎片，可以被用来塑造成新的形状。\n以 [D3CE1D]10[-] 为单位制作。,橡膠和塑膠的碎片，可以被用來塑造成新的形狀。\n以 [D3CE1D]10[-] 為單位製作。
resourceRepairKit,车辆修理套件,車輛修理套件
resourceRepairKitDesc,修理套件主要用于车辆修理。,修理套件主要用於車輛修理。
palletBrownBoxesBase,棕色盒子,棕色盒子
palletBrownBoxesLoose,棕色盒子,棕色盒子
palletBrownBoxesTile,棕色盒子,棕色盒子
palletBrownBoxesTop,棕色盒子,棕色盒子
palletBrownBoxesTopSmall,棕色盒子,棕色盒子
palletCartonMilitaryBase,弹药箱,彈藥箱
palletCartonMilitaryCap,弹药箱,彈藥箱
palletCartonMilitaryTile,弹药箱,彈藥箱
palletCartonMilitaryTileCovered,弹药箱,彈藥箱
cntBarrelPlasticQuadA,蓝色水桶,藍色水桶
cntBarrelPlasticQuadB,蓝色水桶,藍色水桶
cntBarrelPlasticSingle00,蓝色水桶,藍色水桶
cntBarrelPlasticSingle45,蓝色水桶,藍色水桶

loadingTipEft1_title,逃离塔科夫 Overhaul - v1.0 测试版,逃離塔科夫 Overhaul - v1.0 測試版
loadingTipEft1,这是 Escape From Tarkov Overhaul 的测试版本 1.0。 \n最新功能： 动作技能、新的枪械操作系统、经济系统重新平衡、更倚赖商人的游戏玩法，以及更多的平衡性/游戏玩法的变更。 这将使游戏难度上升。\n移除：技能、技能书、杂誌、偷袭伤害、潜行、所有服装配件（除了头盔灯和夜视镜）、非军事外观的服装。,這是 Escape From Tarkov Overhaul 的測試版本 1.0。 \n最新功能： 動作技能、新的槍械操作系統、經濟系統重新平衡、更倚賴商人的遊戲玩法，以及更多的平衡性/遊戲玩法的變更。 這將使遊戲難度上升。\n移除：技能、技能書、雜誌、偷襲傷害、潛行、所有服裝配件（除了頭盔燈和夜視鏡）、非軍事外觀的服裝。

loadingTipEft2_title,新的枪械与配件,新的槍械與配件
loadingTipEft2,本模组新增 100 种以上的枪械，以及 200 种以上的枪械配件，例如反射式瞄准镜、镜头、握把、枪托、枪管下榴弹发射器、膛口装置和抑制器。您可以透过製作或在武器相关的战利品/商人处找到枪械和枪械配件。,本模組新增 100 種以上的槍械，以及 200 種以上的槍械配件，例如反射式瞄準鏡、鏡頭、握把、槍托、槍管下榴彈發射器、膛口裝置和消音器。您可以透過製作或在武器相關的戰利品/商人處找到槍械和槍械配件。
loadingTipEft3_title,弹药与拆解,彈藥與拆解
loadingTipEft3,本模组新增了 17 种新的弹药；每种弹药类型都包含全金属被甲弹、空尖弹和穿甲弹。\n你需要依照面前的敌人来更换你的弹药种类。\n穿甲弹在对付戴头盔或穿防弹衣的殭尸时更有效，而空尖弹则在杀死肥胖或有辐射的殭尸时更有用。\n弹药可以通过拆解来获取製作原料：在製作栏中搜寻「disassembly」来製作拆解用工具。,本模組新增了 17 種新的彈藥；每種彈藥類型都包含全金屬被甲彈、空尖彈和穿甲彈。\n你需要依照面前的敵人來更換你的彈藥種類。\n穿甲彈在對付戴頭盔或穿防彈衣的殭屍時更有效，而空尖彈則在殺死肥胖或有輻射的殭屍時更有用。\n彈藥可以通過拆解來獲取製作原料：在製作欄中搜尋「disassembly」來製作拆解用工具。
loadingTipEft4_title,新物品,新物品
loadingTipEft4,这个模组加了许多有用的物品。化学药品、贵重物品、医疗用品、食物、饮料、酒类与注射器。弹药製作变得更複杂，所有物品都有专属特殊的动作。,這個模組加了許多有用的物品。化學藥品、貴重物品、醫療用品、食物、飲料、酒類與注射器。彈藥製作變得更複雜，所有物品都有專屬特殊的動作。
loadingTipEft5_title,射击四肢,射擊四肢
loadingTipEft5,射击四肢会造成较低的伤害。空尖弹则没有这个问题。,射擊四肢會造成較低的傷害。空尖彈則沒有這個問題。
loadingTipEft6_title,动作技能与状态,動作技能與狀態
loadingTipEft6,您可以在玩家统计视窗中（预设键 B）检查您的枪支和动作技能。该视窗会显示您目前持有的枪枝性能以及动作技能的等级。,您可以在玩家統計視窗中（預設鍵 B）檢查您的槍支和動作技能。該視窗會顯示您目前持有的槍枝性能以及動作技能的等級。
loadingTipEft7_title,经济系统与商人,經濟系統與商人
loadingTipEft7,游戏中的货币已更换为卢布。每个商人都有自己独特的藏品，经营不同种类的商品。,遊戲中的貨幣已更換為盧布。每個商人都有自己獨特的藏品，經營不同種類的商品。
loadingTipEft8_title,物品等级,物品等級
loadingTipEft8,T1物品以白色显示，T2：绿色，T3：蓝色，T4：紫色，T5：金色。,T1物品以白色顯示，T2：綠色，T3：藍色，T4：紫色，T5：金色。
loadingTipEft9_title,装甲与辐射殭尸,裝甲與輻射殭屍
loadingTipEft9,只要造成足够的伤害，即使是空尖弹，也能打穿盔甲。四肢一般没有装甲保护。辐射殭尸的再生能力已被加强，如果没有「辐射抑制器」 或造成足够的伤害来杀死辐射殭尸，他们就会在您重新装填完手枪之前就恢復全部的生命值。,只要造成足夠的傷害，即使是空尖彈，也能打穿盔甲。四肢一般沒有裝甲保護。輻射殭屍的再生能力已被加強，如果沒有「輻射抑制器」 或造成足夠的傷害來殺死輻射殭屍，他們就會在您重新裝填完手槍之前就恢復全部的生命值。
loadingTipEft10_title,野生动物及特殊殭尸,野生動物及特殊殭屍
loadingTipEft10,野生动物是非常危险的，他们的速度非常快，而且会造成非常高的伤害。\n有些殭尸有机会背着战利品，这些战利品会在殭尸死亡时掉落。,野生動物是非常危險的，他們的速度非常快，而且會造成非常高的傷害。\n有些殭屍有機會背著戰利品，這些戰利品會在殭屍死亡時掉落。
loadingTipEft11_title,战利品,戰利品
loadingTipEft11,所有战利品奖励都已重新调整。搜刮带有武器的武器架一定会得到武器，搜刮放置化学物品的架子则一定能够取得含化学物品，如此类推。,所有戰利品獎勵都已重新調整。搜刮帶有武器的武器架一定會得到武器，搜刮放置化學物品的架子則一定能夠取得含化學物品，如此類推。
loadingTipEft12_title,本模组还在开发中,本模組還在開發中
loadingTipEft12,儘管这是第一个稳定版，仍有可能出现问题。,儘管這是第一個穩定版，仍有可能出現問題。

sneakDamageBonus,潜行伤害加成：[FDE302]{0}%[-],潛行傷害加成：[FDE302]{0}%[-]
lootEntity,\n搜索 {1} (未触及)\n,\n搜索 {1} (未觸及)\n
lootTooltipEmpty,\n[b]空[-]\n,\n[b]空[-]\n
lootTooltipNew,\n搜索 {1} (未触及)\n,\n搜索 {1} (未觸及)\n
lootTooltipTouched,\n搜索 {1}\n,\n搜索 {1}\n
tooltipJammed,\n使用 {1} ([DECEA3]卡住[-])\n,\n使用 {1} ([DECEA3]卡住[-])\n
tooltipLocked,\n使用 {1} ([DECEA3]已锁定[-])\n,\n使用 {1} ([DECEA3]已鎖定[-])\n

starterCase,新手礼包,新手包
starterCaseDesc,你不记得发生了什麽事，但你知道你所有的家当都在这个箱子里。,你不記得發生了什麼事，但你知道你所有的家當都在這個箱子裡。
bundleStarter1,自行车英雄套件,單車英雄套件
bundleStarter1Desc,此套件包含下列物品：\n一辆脚踏车和三罐可乐,此套件包含下列物品：\n一輛腳踏車和三罐可樂
bundleStarter2,酗酒工匠套件,酗酒工匠套件
bundleStarter2Desc,此套件包含下列物品：\n一把消防斧、一把鹤嘴锄、一把扳手、一把铲子、两瓶啤酒和一罐图尚卡罐头。,此套件包含下列物品：\n一柄消防斧、一柄鶴嘴鋤、一個扳手、一柄鏟子、兩瓶啤酒和一罐圖尚卡罐頭。
bundleStarter3,特殊建筑师套件,特殊建築師套件
bundleStarter3Desc,此套件包含下列物品：\n工作台、一个大槌机器人、一柄羊角锤、一个钱包、两包维他果汁和一罐炼乳。,此套件包含下列物品：\n工作台、一個大槌機器人、一柄羊角錘、一個錢包、兩包維他果汁和一罐煉乳。
bundleStarter4,医学狂人套件,醫學狂人套件
bundleStarter4Desc,此套件包含下列物品：\n一个 CMS手术包、两个草药抗生素、两个单兵战术急救包、五支肾上腺素注射器、五支丙酸刺激剂注射器和五支吗啡注射器,此套件包含下列物品：\n一個 CMS手術包、兩個草藥抗生素、兩個單兵戰術急救包、五支腎上腺素注射器、五支丙酸刺激劑注射器和五支嗎啡注射器
bundleStarter5,猎人秘密套件,獵人秘密套件
bundleStarter5Desc,此套件包含下列物品：\n一把反曲弓、一把猎刀、15 支铁箭和 5 支钢箭、两包军用口粮和两包紧急饮用水,此套件包含下列物品：\n一把反曲弓、一把獵刀、15 支鐵箭和 5 支鋼箭、兩包軍用口糧和兩包緊急飲用水


noteEFT,陌生人的留言,陌生人的留言
noteEFTDesc,给看到这张字条的人:所有人都死定了。我死定了。你也死定了。没有任何人能活下来。除了巴尼。 不，就算是连巴尼也死定了。 不管怎样，拿着我的东西逃出Navezgane吧\n (Navezgane位于亚利桑那州。 在阿帕奇语中，「Navezgane」意为「杀死怪物的」),給看到這張字條的人:所有人都死定了。我死定了。你也死定了。沒有任何人能活下來。除了巴尼。 不，就算是連巴尼也死定了。 不管怎樣，帶走我的物品逃出Navezgane吧\n (Navezgane位於亞利桑那州。 在阿帕奇語中，「Navezgane」意為「殺死怪物的」)

npcTraderJoel,[D52685]巴尼[-],[D52685]巴尼[-]

resourceMechanicalParts,金属零件,金屬零件
resourceElectricParts,电子元件,電子元件
resourceHeadlight,灯泡,燈泡
resourceHeadlightDesc,灯泡对于制造车辆和发光设备很有用。,燈泡對於製造車輛和發光設備很有用。
resourcePotassiumNitratePowder,硝酸钾,硝酸鉀
resourcePotassiumNitratePowderBundle,KNO₃ 堆栈（6000）,KNO₃ 堆棧（6000）
resourceLegendaryParts,[BB00FF]凯克塔普(KEKTAPE)胶带[-],[BB00FF]凱克塔普(KEKTAPE)膠帶[-]
resourceLegendaryPartsDesc,製作高阶装备的重要材料。用于製作 T4 物品和配件。,製作高階裝備的重要材料。用於製作 T4 物品和配件。
resourcePaperDesc,纸张可与其他材料一起使用，制作霰弹枪弹药、炸药和雪茄。\n以 [D3CE1D]10[-] 为单位制作。,紙張可與其他材料一起使用，製作霰彈槍彈藥、炸藥和雪茄。\n以 [D3CE1D]10[-] 為單位製作。

cntGunSafeInsecure,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureArmyGreen,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureBlue,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureBrown,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureGreen,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureGrey,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureOrange,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecurePink,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecurePurple,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureRed,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureWhite,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeInsecureYellow,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafe,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeArmyGreen,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeBlue,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeBrown,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeGreen,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeGrey,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeOrange,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafePink,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafePurple,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeRed,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeWhite,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]
cntGunSafeYellow,[FFD700]枪支保险箱[-],[FFD700]槍枝保險箱[-]

cntAmmoPileLarge,大型军火堆,大型軍火堆

cntMunitionsBoxArmy,[FFD700]军用弹药箱[-],[FFD700]軍用彈藥箱[-]
cntMunitionsBoxBlue,[FFD700]军用弹药箱[-],[FFD700]軍用彈藥箱[-]
cntMunitionsBoxGreen,[FFD700]军用弹药箱[-],[FFD700]軍用彈藥箱[-]
cntMunitionsBoxOrange,[FFD700]军用弹药箱[-],[FFD700]軍用彈藥箱[-]
cntMunitionsBoxRed,[FFD700]军用弹药箱[-],[FFD700]軍用彈藥箱[-]
cntHardenedChestInsecure,[FFD700]强化箱子[-],[FFD700]強化箱子[-]
cntHardenedChestSecure,[FFD700]强化箱子[-],[FFD700]強化箱子[-]
cntHardenedChestInsecureT5,[FFD700]强化英雄宝箱[-],[FFD700]強化英雄寶箱[-]
cntHardenedChestSecureT5,[FFD700]强化英雄宝箱[-],[FFD700]強化英雄寶箱[-]

cntBuriedWeaponChest,埋藏的武器箱,埋藏的武器箱
cntDisplayCaseAmmoLeftBroken,手枪展示架,手槍展示架
cntDisplayCaseAmmoMiddleBroken01,手枪展示架,手槍展示架
cntDisplayCaseAmmoMiddleBroken02,手枪展示架,手槍展示架
cntDisplayCaseAmmoRightBroken,手枪展示架,手槍展示架
cntGunRackSmallArmor,护甲展示架,護甲展示架
cntCounterHollowCabinet,水槽,水槽
cntCounterHollowCabinetOld,水槽,水槽
cntCounterHollowCabinetTaupe,水槽,水槽
cntFoodPileLarge,一大堆罐头食品,一大堆罐頭食品
cntFoodPileMedium,一堆罐头食品,一堆罐頭食品
cntFoodPileSmall,一小堆罐头食品,一小堆罐頭食品
cntStoreShelfSingleBottomFood01,食品架,食品架
cntStoreShelfSingleBottomFood02,食品架,食品架
cntStoreShelfSingleTopFood01,食品架,食品架
cntStoreShelfDoubleBottomFood01,食品架,食品架
cntStoreShelfDoubleBottomFood02,食品架,食品架
cntStoreShelfDoubleTopFood01,食品架,食品架
cntStoreShelfSingleBottomHardware01,五金货架,五金貨架
cntStoreShelfSingleBottomHardware02,五金货架,五金貨架
cntStoreShelfSingleTopHardware01,五金货架,五金貨架
cntStoreShelfSingleTopHardware02,五金货架,五金貨架
cntStoreShelfDoubleBottomHardware01,五金货架,五金貨架
cntStoreShelfDoubleBottomHardware02,五金货架,五金貨架
cntStoreShelfDoubleBottomHardware03Rags,废弃的架子,廢棄的架子
cntStoreShelfDoubleTopHardware01,五金货架,五金貨架
cntStoreShelfDoubleTopHardware02Rags,废弃的架子,廢棄的架子
cntStoreShelfSingleBottomPharmaGoods01,药品货架,藥品貨架
cntStoreShelfSingleBottomPharmaGoods02,药品货架,藥品貨架
cntStoreShelfDoubleBottomPharmaGoods01,药品货架,藥品貨架
cntStoreShelfDoubleBottomPharmaGoods02,药品货架,藥品貨架
cntStoreShelfSingleBottomTrash01,废弃的架子,廢棄的架子
cntStoreShelfSingleBottomTrash02,废弃的架子,廢棄的架子
cntStoreShelfSingleTopTrash01,废弃的架子,廢棄的架子
cntStoreShelfSingleTopTrash02,废弃的架子,廢棄的架子
cntStoreShelfDoubleBottomTrash01,废弃的架子,廢棄的架子
cntStoreShelfDoubleBottomTrash02,废弃的架子,廢棄的架子
cntStoreShelfDoubleTopTrash01,废弃的架子,廢棄的架子
cntStoreShelfElectronicsSingleBottomPC,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomElectronicsMonitor,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomGoodsMisc,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomHeadphones,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomKeyboard,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomLaptopClosed,电子产品货架,電子產品貨架
cntStoreShelfElectronicsSingleBottomLaptopOpen,电子产品货架,電子產品貨架
